Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode,Offerings,Market Tone,Price Comment,Comments
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/26/2016,105,105,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/26/2016,105,105,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/27/2016,105,105,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/27/2016,105,105,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/28/2016,105,105,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/28/2016,105,105,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/29/2016,105,105,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/29/2016,105,105,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/30/2016,105,105,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/30/2016,105,105,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125,135,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,135,135,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125,135,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125,125,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125,125,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125,125,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125,135,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,135,135,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125,135,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125,125,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125,125,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125,125,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125,135,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,135,135,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125,135,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125,125,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125,125,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125,125,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125,135,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,135,135,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125,135,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125,125,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125,125,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125,125,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115,125,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115,115,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115,125,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115,115,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115,115,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115,115,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,09/26/2016,150,150,,,ILLINOIS,,xlge,,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,09/27/2016,150,150,,,ILLINOIS,,xlge,,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,09/28/2016,150,150,,,ILLINOIS,,xlge,,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,09/29/2016,150,150,,,ILLINOIS,,xlge,,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,09/30/2016,150,150,,,ILLINOIS,,xlge,,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,09/26/2016,175,175,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,09/27/2016,175,175,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,09/28/2016,175,175,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,09/29/2016,175,175,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,09/30/2016,175,175,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,09/26/2016,275,275,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,09/27/2016,275,275,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,09/28/2016,275,275,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,09/29/2016,275,275,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,09/30/2016,150,150,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/26/2016,100,100,,,ILLINOIS,,,,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/26/2016,135,135,,,MISSOURI,,,,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/27/2016,100,100,,,ILLINOIS,,,,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/27/2016,135,135,,,MISSOURI,,,,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/28/2016,100,100,,,ILLINOIS,,,,,,,,,,,N,,,ABOUT STEADY.,,
